"Country","Region","Presence","Year First Detected","Pest Extent"
"India","Karnataka","Present: no details",2016,3
"India","Kerala","Present: no details",2014,3
"India","Madhya Pradesh","Present: no details",1997,3
"India","Maharashtra","Present: no details",1984,3
"India","Manipur","Present: no details",2001,3
"India","Meghalaya","Present: no details",2015,3
"India","Nagaland","Present: no details",1992,3
"India","Orissa","Present: no details",2015,3
"India","Punjab","Present: no details",2008,3
"India","Sikkim","Present: no details",1999,3
"India","Tamil Nadu","Present: no details",2014,3
"India","Tripura","Present: no details",2015,3
"India","Uttar Pradesh","Present: no details",2005,3
"India","Uttarakhand","Present: no details",2002,3
"India","West Bengal","Present: no details",2014,3
"Indonesia",NA,"Present: no details",2017,3
"Iran",NA,"Present: no details",2014,3
"Iraq",NA,"Present: no details",1952,3
"Japan",NA,"Present: no details",2014,3
"Kazakhstan",NA,"Present: no details",1979,3
"Korea",NA,"Present: no details",1995,3
"Laos",NA,"Present: no details",2014,3
"Malaysia",NA,"Present: no details",2016,3
"Myanmar",NA,"Present: no details",2015,3
"Nepal",NA,"Present: no details",2014,3
"Pakistan",NA,"Present: no details",1997,3
"Philippines",NA,"Present: no details",2014,3
"Sri Lanka",NA,"Present: no details",1991,3
"Taiwan",NA,"Present: no details",2013,3
"Thailand",NA,"Present: no details",2015,3
"Turkey",NA,"Present: no details",1983,3
"Uzbekistan",NA,"Present: no details",1976,3
"Vietnam",NA,"Present: no details",1999,3
"Vietnam",NA,"Present: no details",2005,3
"Vietnam",NA,"Present: no details",2006,3
"Angola",NA,"Present: no details",1963,3
"Benin",NA,"Present: widespread",2014,6
"Burkina Faso",NA,"Present: no details",2014,3
"Burundi",NA,"Present: no details",1992,3
"Cameroon",NA,"Present: no details",1991,3
"Chad",NA,"Present: no details",1965,3
"Congo",NA,"Present: no details",1995,3
"Cote d'Ivoire",NA,"Present: widespread",2014,6
"Egypt",NA,"Present: no details",1993,3
"Ethiopia",NA,"Present: no details",2014,3
"Gabon",NA,"Present: no details",1984,3
"Gambia",NA,"Present: no details",2002,3
"Ghana",NA,"Present: no details",1940,3
"Guinea",NA,"Present: no details",1984,3
"Kenya",NA,"Present: no details",2013,3
"Liberia",NA,"Present: no details",1991,3
"Madagascar",NA,"Present: no details",1990,3
"Malawi",NA,"Present: no details",1972,3
"Mali",NA,"Present: no details",2014,3
"Mauritius",NA,"Present: no details",1973,3
"Morocco",NA,"Present: no details",2000,3
"Mozambique",NA,"Present: no details",1987,3
"Niger",NA,"Present: no details",1986,3
"Nigeria",NA,"Present: no details",2013,3
"Senegal",NA,"Present: no details",1989,3
"Sierra Leone",NA,"Present: no details",1936,3
"South Africa",NA,"Present: no details",2000,3
"Sudan",NA,"Present: no details",1997,3
"Tanzania",NA,"Present: no details",1985,3
"Tanzania",NA,"Present: no details",2016,3
"Tanzania",NA,"Present: no details",2016,3
"Togo",NA,"Present: no details",2000,3
"Uganda",NA,"Present: no details",2016,3
"Zambia",NA,"Present: no details",1995,3
"Zimbabwe",NA,"Present: no details",1966,3
"Mexico",NA,"Present: widespread",2001,6
"United States of America",NA,"Present: Eradicated",2003,1
"United States of America","Alabama","Present: Intercepted only",2017,2
"United States of America","Arkansas","Present: no details",2012,3
"United States of America","California","Present: no details",1997,3
"United States of America","Florida","Present: no details",1991,3
"United States of America","Hawaii","Present: Intercepted only",2017,2
"United States of America","Louisiana","Present: no details",1990,3
"United States of America","Mississipp","Present: Intercepted only",2017,2
"United States of America","Missouri","Present: no details",1996,3
"United States of America","Texas","Present: no details",1977,3
"Belize",NA,"Present: Intercepted only",2017,2
"Costa Rica",NA,"Present: no details",1967,3
"Cuba",NA,"Present: no details",2014,3
"Dominican Republic",NA,"Present: no details",1961,3
"El Salvador",NA,"Present: no details",1951,3
"Guatemala",NA,"Present: no details",1967,3
"Haiti",NA,"Absent",1972,0
"Honduras",NA,"Present: no details",1967,3
"Jamaica",NA,"Absent",2017,0
"Nicaragua",NA,"Present: no details",2011,3
"Panama",NA,"Present: no details",1967,3
"Panama",NA,"Present: no details",2006,3
"Puerto Rico",NA,"Present: no details",2016,3
"Trinidad and Tobago",NA,"Present: no details",1951,3
"Trinidad and Tobago",NA,"Present: no details",2017,3
"Argentina",NA,"Present: no details",1980,3
"Argentina",NA,"Present: no details",2008,3
"Brazil","Amazonas","Present: restricted distribution",1989,5
"Brazil","Espirito Santo","Present: restricted distribution",1963,5
"Brazil","Goias","Present: restricted distribution",2012,5
"Brazil","Maranhao","Present: widespread",1982,6
"Brazil","Mato Grosso","Present: widespread",1989,6
"Brazil","Mato Grosso do Sul","Present: restricted distribution",2006,5
"Brazil","Minas Gerais","Present: restricted distribution",1999,5
"Brazil","Para","Present: widespread",2016,6
"Brazil","Parana","Present: widespread",2014,6
"Brazil","Pernambuco","Present: restricted distribution",1963,5
"Brazil","Piaui","Present: restricted distribution",1972,5
"Brazil","Rio Grande do Sul","Present: restricted distribution",2016,5
"Brazil","Rondonia","Present: restricted distribution",1997,5
"Brazil","Santa Catarina","Present: restricted distribution",2016,5
"Brazil","Sao Paulo","Present: restricted distribution",1995,5
"Brazil","Tocantins","Present: restricted distribution",2011,5
"Colombia",NA,"Present: restricted distribution",1988,5
"French Guiana",NA,"Present: restricted distribution",2014,5
"Guyana",NA,"Present: restricted distribution",1973,5
"Paraguay",NA,"Present: widespread",1945,6
"Peru",NA,"Present: widespread",1981,6
"Suriname",NA,"Present: restricted distribution",1977,5
"Uruguay",NA,"Absent",2014,0
"Venezuela",NA,"Present: widespread",2014,6
"Australia",NA,"Present: restricted distribution",2017,5
"Australia","Northern Territory","Present: restricted distribution",1964,5
"Australia","Queensland","Present: restricted distribution",2016,5
"Australia","Western Australia","Present: restricted distribution",2012,5
"Fiji",NA,"Present: widespread",1977,6
"New Caledonia",NA,"Present: widespread",1969,6
"Papua New Guinea",NA,"Present: widespread",1984,6
"Angola",NA,"Present: no details",2021,3
"Chad",NA,"Present: no details",2021,3
"Congo",NA,"Present: no details",2021,3
"Cote d'Ivoire",NA,"Present: no details",2021,3
"Egypt",NA,"Present: no details",2021,3
"Ethiopia",NA,"Present: no details",2021,3
"Gambia",NA,"Present: no details",2021,3
"Ghana",NA,"Present: no details",2021,3
"Guinea",NA,"Present: no details",2021,3
"Kenya",NA,"Present: no details",2021,3
"Madagascar",NA,"Present: no details",2021,3
"Malawi",NA,"Present: no details",2021,3
"Mauritius",NA,"Present: no details",2021,3
"Morocco",NA,"Present: no details",2021,3
"Niger",NA,"Present: no details",2021,3
"Nigeria",NA,"Present: no details",2021,3
"Senegal",NA,"Present: no details",2021,3
"Sierra Leone",NA,"Present: no details",2021,3
"South Africa",NA,"Present: no details",2021,3
"Sudan",NA,"Present: no details",2021,3
"Tanzania",NA,"Present: no details",2021,3
"Uganda",NA,"Present: no details",2021,3
"Zambia",NA,"Present: no details",2021,3
"Zimbabwe",NA,"Present: no details",2021,3
"Argentina",NA,"Present: no details",2021,3
"Belize",NA,"Present: no details",2021,3
"Bermuda",NA,"Present: no details",2021,3
"Bolivia",NA,"Present: no details",2021,3
